Time,y2,y3
2022-02-21 16:26:47.641,32,32
2022-02-21 16:26:48.452,32,32
2022-02-21 16:26:49.262,32,32
2022-02-21 16:26:50.072,32,32
2022-02-21 16:26:50.883,32,32
2022-02-21 16:26:51.693,32,32
2022-02-21 16:26:52.503,32,32
2022-02-21 16:26:53.313,32,32
2022-02-21 16:26:54.124,32,32
2022-02-21 16:26:54.934,32,32
2022-02-21 16:26:55.744,32,32
2022-02-21 16:26:56.555,32,32
2022-02-21 16:26:57.365,32,32
2022-02-21 16:26:58.175,32,32
2022-02-21 16:26:58.986,32,32
2022-02-21 16:26:59.796,32,32
2022-02-21 16:27:00.606,32,32
2022-02-21 16:27:01.416,32,32
2022-02-21 16:27:02.227,32,32
2022-02-21 16:27:03.037,32,32
2022-02-21 16:27:03.847,32,32
2022-02-21 16:27:04.658,32,32
2022-02-21 16:27:05.468,32,32
2022-02-21 16:27:06.278,32,32
2022-02-21 16:27:07.089,32,32
2022-02-21 16:27:07.899,32,32
2022-02-21 16:27:08.709,32,32
2022-02-21 16:27:09.519,32,32
2022-02-21 16:27:10.330,32,32
2022-02-21 16:27:11.140,32,32
2022-02-21 16:27:11.950,32,32
2022-02-21 16:27:12.761,32,32
2022-02-21 16:27:13.570,32,32
2022-02-21 16:27:14.379,32,32
2022-02-21 16:29:06.860,17,19
2022-02-21 16:29:07.696,19,19
2022-02-21 16:29:08.506,19,19
2022-02-21 16:29:09.316,19,19
2022-02-21 16:29:10.127,19,19
2022-02-21 16:29:10.937,19,19
2022-02-21 16:29:11.747,19,19
2022-02-21 16:29:12.558,19,19
2022-02-21 16:29:13.368,19,19
2022-02-21 16:29:14.178,19,19
2022-02-21 16:29:14.989,19,19
2022-02-21 16:29:15.646,31,31
2022-02-21 16:29:16.453,31,31
2022-02-21 16:29:17.264,31,31
2022-02-21 16:29:18.074,31,31
2022-02-21 16:29:18.885,31,31
2022-02-21 16:29:19.695,31,31
2022-02-21 16:29:20.505,31,31
2022-02-21 16:29:21.316,31,31
2022-02-21 16:29:22.126,31,31
2022-02-21 16:29:22.937,31,31
2022-02-21 16:29:23.747,31,31
2022-02-21 16:29:24.581,12,12
2022-02-21 16:29:25.392,12,12
2022-02-21 16:29:26.202,12,12
2022-02-21 16:29:27.012,12,12
2022-02-21 16:29:27.823,12,12
2022-02-21 16:29:28.633,12,12
2022-02-21 16:29:29.443,12,12
2022-02-21 16:29:30.253,12,12
2022-02-21 16:29:31.062,12,12
2022-02-21 16:29:37.520,12,12
2022-02-21 16:29:38.329,12,12
2022-02-21 16:29:39.139,12,12
2022-02-21 16:29:39.950,12,12
2022-02-21 16:29:40.760,12,12
2022-02-21 16:29:41.570,12,12
2022-02-21 16:29:42.378,12,12
2022-02-21 16:30:04.899,12,12
2022-02-21 16:30:05.709,12,12
2022-02-21 16:30:06.519,12,12
2022-02-21 16:30:07.329,12,12
2022-02-21 16:30:08.140,12,12
2022-02-21 16:30:08.949,12,12
2022-02-21 16:30:09.757,12,12
2022-02-21 16:30:46.893,32,32
2022-02-21 16:30:47.703,32,32
2022-02-21 16:30:48.513,32,32
2022-02-21 16:30:49.324,32,32
2022-02-21 16:30:50.134,32,32
2022-02-21 16:30:50.944,32,32
2022-02-21 16:30:51.754,32,32
2022-02-21 16:30:52.565,32,32
2022-02-21 16:30:53.375,32,32
2022-02-21 16:30:54.185,32,32
2022-02-21 16:30:54.996,32,32
2022-02-21 16:30:55.806,32,32
2022-02-21 16:30:56.616,32,32
2022-02-21 16:30:57.427,32,32
2022-02-21 16:30:58.237,32,32
2022-02-21 16:30:59.047,32,32
2022-02-21 16:30:59.857,32,32
2022-02-21 16:31:00.668,32,32
2022-02-21 16:31:01.478,32,32
2022-02-21 16:31:02.288,32,32
2022-02-21 16:31:03.099,32,32
2022-02-21 16:31:03.909,32,32
2022-02-21 16:31:04.719,32,32
2022-02-21 16:31:05.530,32,32
2022-02-21 16:31:06.340,32,32
2022-02-21 16:31:07.150,32,32
2022-02-21 16:31:07.961,32,32
2022-02-21 16:31:08.771,32,32
2022-02-21 16:31:09.581,32,32
2022-02-21 16:31:10.391,32,32
2022-02-21 16:31:11.202,32,32
2022-02-21 16:31:12.012,32,32
2022-02-21 16:31:12.822,32,32
2022-02-21 16:31:13.633,32,32
2022-02-21 16:31:14.443,32,32
2022-02-21 16:31:15.253,32,32
2022-02-21 16:31:16.064,32,32
2022-02-21 16:31:16.874,32,32
2022-02-21 16:31:17.684,32,32
2022-02-21 16:31:18.494,32,32
2022-02-21 16:31:19.305,32,32
